spectrum,map,pixel,X_um,Y_um,map_file,1456_checks_passed,1456_pos_cm-1,1456_SNR,1456 V1,1456 V2,1456 V3,1456 V4,1456 V5,1456 V6,1456 V7,1456 V8,1456 V9,1456 V10,1726_checks_passed,1726_pos_cm-1,1726_SNR,1726 V1,1726 V2,1726 V3,1726 V4,1726 V5,1726 V6,1726 V7,1726 V8,1726 V9,1726 V10,r_fingerprint,r_CH,r_1456_1726_windows,r_per_ref_min,I1726/I1456,both_peaks_10of10,both_peaks_min_checks,match_score
m1_px15,m1,15,11.25,14.0,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1457.0,-5.2,False,False,False,False,False,False,False,False,False,False,0,1725.0,1.4,False,False,False,False,False,False,False,False,False,False,0.2835,0.9605,0.1716,0.0466,0.16,False,0,0.3741
m3_px14,m3,14,11.172,9.124,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1456.0,-0.3,False,False,False,False,False,False,False,False,False,False,0,1729.0,1.5,False,False,False,False,False,False,False,False,False,False,0.2882,0.8926,0.1903,0.0938,0.277,False,0,0.3699
m1_px07,m1,7,3.75,14.0,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.2767,0.9533,0.1709,0.0872,0.259,False,0,0.3697
m4_px13,m4,13,11.172,4.483,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1448.0,-1.4,False,False,False,False,False,False,False,False,False,False,1,1725.0,0.9,False,False,False,False,False,True,False,False,False,False,0.2721,0.8973,0.2012,0.0318,0.147,False,0,0.3688
m5_px14,m5,14,11.172,9.124,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.2864,0.9113,0.1783,0.0764,0.082,False,0,0.3681
m1_px05,m1,5,3.75,4.719,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1449.0,0.4,False,False,False,False,False,False,False,False,False,False,0,1732.0,0.4,False,False,False,False,False,False,False,False,False,False,0.2714,0.9457,0.1728,0.0669,0.065,False,0,0.3668
m3_px05,m3,5,3.671,4.483,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1736.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3177,0.9258,0.1161,0.1193,0.191,False,0,0.3587
m5_px04,m5,4,3.671,-0.157,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1458.0,-1.2,False,False,False,False,False,False,False,False,False,False,0,1729.0,1.3,False,False,False,False,False,False,False,False,False,False,0.2629,0.9269,0.1695,0.04,0.159,False,0,0.3583
m2_px15,m2,15,11.328,13.922,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1720.0,1.1,False,False,False,False,False,True,False,False,False,False,0.2752,0.9307,0.1541,0.0453,0.26,False,0,0.3579
m2_px14,m2,14,11.328,9.281,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1718.0,-0.4,False,False,False,False,False,False,False,False,False,False,0.2906,0.9534,0.1262,0.0855,0.142,False,0,0.3574
m2_px02,m2,2,0.079,9.281,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1735.0,0.3,False,False,False,False,False,False,False,False,False,False,0.2664,0.9608,0.1395,0.0316,0.053,False,0,0.3545
m3_px16,m3,16,14.922,-0.157,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,1,1717.0,0.7,False,False,False,False,False,True,False,False,False,False,0.3027,0.664,0.2469,0.0612,0.129,False,0,0.3526
m1_px09,m1,9,7.5,4.719,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1718.0,0.2,False,False,False,False,False,False,False,False,False,False,0.257,0.9278,0.1585,0.0562,0.101,False,0,0.3518
m1_px11,m1,11,7.5,14.0,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1719.0,1.2,False,False,False,False,False,False,False,False,False,False,0.2724,0.927,0.1302,0.0753,0.098,False,0,0.3464
m2_px05,m2,5,3.829,4.64,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1451.0,-1.6,False,False,False,False,False,False,False,False,False,False,0,1722.0,-0.2,False,False,False,False,False,False,False,False,False,False,0.2447,0.9394,0.11,0.0466,0.075,False,0,0.3298
m5_px06,m5,6,3.671,9.124,m5-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1451.0,-20.0,False,False,False,False,False,False,False,False,True,False,0,1726.0,0.1,False,False,False,False,False,False,False,False,False,False,0.289,0.9583,0.0532,0.1248,0.012,False,0,0.3285
m3_px18,m3,18,14.922,9.124,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1464.0,-4.3,False,False,False,False,False,False,False,False,False,False,3,1723.0,2.6,False,False,True,False,True,True,False,False,False,False,0.2571,0.9035,0.0868,0.05,0.33,False,0,0.3183
m4_px17,m4,17,14.922,4.483,m4-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1466.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1723.0,0.6,False,False,False,False,False,False,False,False,False,False,0.2463,0.9536,0.0586,0.0976,0.038,False,0,0.3127
m1_px19,m1,19,15.0,14.0,m1-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,1,1450.0,-1.2,False,False,False,False,False,False,False,False,True,False,0,1716.0,0.0,False,False,False,False,False,False,False,False,False,False,0.3179,0.9402,-0.0069,0.0606,0.98,False,0,0.3124
m3_px01,m3,1,-0.079,4.483,m3-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,0,1726.0,0.6,False,False,False,False,False,False,False,False,False,False,0.2396,0.9306,0.0704,0.0982,0.121,False,0,0.3101
m2_px13,m2,13,11.328,4.64,m2-EV_acacia-AgSiNW_532nm_1800gr_BC200_50XLF_1s_4a_10_1ul_drop-center.txt,0,1446.0,0.0,False,False,False,False,False,False,False,False,False,False,3,1730.0,2.7,False,False,True,False,True,True,False,False,False,False,0.2594,0.7169,0.0482,0.0348,0.714,False,0,0.2664
